median,log_freq
2.7616975577519682e+41,11.5
2.8155168601878894e+41,11.502
2.8697791510791376e+41,11.504
2.924900299015767e+41,11.506
2.9835858120141857e+41,11.508
3.042756099565135e+41,11.51
3.1024145051293227e+41,11.512
3.1625643953408323e+41,11.514
3.2232091602084267e+41,11.516
3.2877440210643517e+41,11.518
3.354353130318968e+41,11.52
3.4215132020163353e+41,11.522
3.489228019437661e+41,11.524
3.557501411165293e+41,11.526
3.627637529151983e+41,11.528
3.702079308700119e+41,11.53
3.777137805035357e+41,11.532
3.852817276407201e+41,11.534
3.929122010593965e+41,11.536
4.006056346497851e+41,11.538
4.088042751994987e+41,11.54
4.1716143461543744e+41,11.542
4.255878088432191e+41,11.544
4.340838760214213e+41,11.546
4.426501176110996e+41,11.548
4.5151787664753725e+41,11.55
4.608047508167796e+41,11.552
4.701686049504638e+41,11.554
4.796099686834479e+41,11.556
4.891293777107797e+41,11.558
4.9872737145864785e+41,11.56
5.0906262297155335e+41,11.562
5.195024111759159e+41,11.564
5.3002871616659645e+41,11.566
5.406421361513546e+41,11.568
5.513432761668298e+41,11.57
5.625287560406863e+41,11.572
5.7414122325277005e+41,11.574
5.85850008529203e+41,11.576
5.976557781256479e+41,11.578
6.0955920294102096e+41,11.58
6.2165828472201555e+41,11.582
6.346151038001774e+41,11.584
6.476795226795656e+41,11.586
6.608522829969218e+41,11.588
6.741341345238709e+41,11.59
6.875258322669647e+41,11.592
7.016592066813254e+41,11.594
7.162010090595998e+41,11.596
7.308635091728681e+41,11.598
7.456475426339184e+41,11.6
7.605539542120984e+41,11.602
7.758440241896061e+41,11.604
7.920202349150912e+41,11.606
8.083308141095197e+41,11.608
8.247766923934079e+41,11.61
8.413588068901206e+41,11.612
8.580781012832976e+41,11.614
8.758606432778873e+41,11.616
8.939850522145568e+41,11.618
9.122599046097008e+41,11.62
9.306862428874067e+41,11.622
9.492651167735107e+41,11.624
9.685080402005392e+41,11.626
9.886857132240229e+41,11.628
1.0090310184302846e+42,11.63
1.0295451177966162e+42,11.632
1.0502291855837728e+42,11.634
1.071084396021971e+42,11.636
1.093474112007045e+42,11.638
1.1160936489789e+42,11.64
1.1389009793530528e+42,11.642
1.1618974054597809e+42,11.644
1.1850842387766008e+42,11.646
1.2092756994854858e+42,11.648
1.2343796497429554e+42,11.65
1.2596921258680638e+42,11.652
1.2852145745373104e+42,11.654
1.3103060148887646e+42,11.656
1.3355299112204696e+42,11.658
1.3620122765356559e+42,11.66
1.3887190361026657e+42,11.662
1.4155674741548328e+42,11.664
1.4414417563990767e+42,11.666
1.4675337073376334e+42,11.668
1.4943534853524864e+42,11.67
1.521643613996302e+42,11.672
1.5491634040090216e+42,11.674
1.5769146031629526e+42,11.676
1.6048989750405542e+42,11.678
1.6333939426705622e+42,11.68
1.6647875886329104e+42,11.682
1.6968153619815453e+42,11.684
1.7291130097416374e+42,11.686
1.761682551782284e+42,11.688
1.7945260254648285e+42,11.69
1.8296451307220778e+42,11.692
1.866838847120262e+42,11.694
1.9043397030202788e+42,11.696
1.9421498068412405e+42,11.698
1.9802712739730152e+42,11.7
2.019333977811188e+42,11.702
2.0597578266543138e+42,11.704
2.1005149159471328e+42,11.706
2.1416075298012306e+42,11.708
2.183037967857598e+42,11.71
2.2248085454158267e+42,11.712
2.2689053868424106e+42,11.714
2.3134863458348917e+42,11.716
2.358434042736896e+42,11.718
2.4036758885182654e+42,11.72
2.4476270159110207e+42,11.722
2.4931791396457433e+42,11.724
2.54028566806173e+42,11.726
2.58778420277702e+42,11.728
2.6356775870329498e+42,11.73
2.6838933837964764e+42,11.732
2.7318950289185997e+42,11.734
2.7830221253602878e+42,11.736
2.834574718537376e+42,11.738
2.886555903794094e+42,11.74
2.9389688016052365e+42,11.742
2.991816557865342e+42,11.744
3.047115589541418e+42,11.746
3.10393679489086e+42,11.748
3.1600708267362854e+42,11.75
3.215888080181412e+42,11.752
3.272166928057075e+42,11.754
3.3310864747471024e+42,11.756
3.393853830253955e+42,11.758
3.4571372314941654e+42,11.76
3.520940278039414e+42,11.762
3.585266586816115e+42,11.764
3.650119805224324e+42,11.766
3.718370720475743e+42,11.768
3.7879397841373896e+42,11.77
3.858080502535839e+42,11.772
3.92879686318704e+42,11.774
4.000709676054118e+42,11.776
4.078354794360026e+42,11.778
4.1607626647587267e+42,11.78
4.2438533268774993e+42,11.782
4.327631527316261e+42,11.784
4.4121020463860514e+42,11.786
4.4972696984181344e+42,11.788
4.5891873542800206e+42,11.79
4.682299145248249e+42,11.792
4.7761829246689126e+42,11.794
4.8708440596876355e+42,11.796
4.966287958614506e+42,11.798
5.065679798432073e+42,11.8
5.169008058761463e+42,11.802
5.2731935762943333e+42,11.804
5.3782423147201116e+42,11.806
5.484160280106933e+42,11.808
5.591471196718958e+42,11.81
5.706026818977688e+42,11.812
5.82153345618509e+42,11.814
5.937997727572501e+42,11.816
6.0554262994538e+42,11.818
6.173825885657748e+42,11.82
6.294083392465195e+42,11.822
6.416369525563894e+42,11.824
6.539165027266826e+42,11.826
6.650969880161512e+42,11.828
6.763705852873163e+42,11.83
6.8784868487747e+42,11.832
6.998223589772648e+42,11.834
7.118960033126842e+42,11.836
7.2407037576105e+42,11.838
7.37056067079273e+42,11.84
7.509028144601704e+42,11.842
7.654599793500142e+42,11.844
7.804017985623934e+42,11.846
7.954695747774546e+42,11.848
8.112030910114167e+42,11.85
8.273295819883588e+42,11.852
8.437663617055946e+42,11.854
8.606640596121322e+42,11.856
8.777013866042094e+42,11.858
8.948793066137093e+42,11.86
9.121987911644473e+42,11.862
9.29660818566911e+42,11.864
9.479523929391889e+42,11.866
9.664509957465104e+42,11.868
9.851020131356123e+42,11.87
1.0039064988804208e+43,11.872
1.0228655151178554e+43,11.874
1.0425352234348412e+43,11.876
1.0629343202196961e+43,11.878
1.0826042720557338e+43,11.88
1.1017490153616601e+43,11.882
1.1210496479155927e+43,11.884
1.1405800666063576e+43,11.886
1.1613991572354963e+43,11.888
1.1823885124323502e+43,11.89
1.2040098076490683e+43,11.892
1.22697367969541e+43,11.894
1.2501258511956875e+43,11.896
1.2744325685155835e+43,11.898
1.2989871048619937e+43,11.9
1.3236428646651497e+43,11.902
1.348501678880746e+43,11.904
1.3735357659674596e+43,11.906
1.398725392899886e+43,11.908
1.4252564446451215e+43,11.91
1.4520061301272615e+43,11.912
1.4789759804417636e+43,11.914
1.5061675378941882e+43,11.916
1.5331368792060212e+43,11.918
1.561384913921575e+43,11.92
1.5912748356239463e+43,11.922
1.6214109221885404e+43,11.924
1.651794887010263e+43,11.926
1.68242845578284e+43,11.928
1.7140290604060002e+43,11.93
1.747256752541678e+43,11.932
1.780758576544791e+43,11.934
1.8144220648928353e+43,11.936
1.8478274235528117e+43,11.938
1.8815086758492192e+43,11.94
1.9173188708221178e+43,11.942
1.9535975015163828e+43,11.944
1.99017677825695e+43,11.946
2.0270588497512405e+43,11.948
2.0642458813826473e+43,11.95
2.102680379831942e+43,11.952
2.1433579446226628e+43,11.954
2.1851882249467568e+43,11.956
2.2273655680647213e+43,11.958
2.269892432513938e+43,11.96
