median,log_freq
3.20395884047925e+41,11.5
3.2666815925047448e+41,11.502
3.3299183606813426e+41,11.504
3.394160261823813e+41,11.506
3.4626031463786204e+41,11.508
3.531609022191689e+41,11.51
3.60118170552168e+41,11.512
3.6713250375789556e+41,11.514
3.7420428847128e+41,11.516
3.817338856843231e+41,11.518
3.895071517479687e+41,11.52
3.9734444086341926e+41,11.522
4.052461866134575e+41,11.524
4.132128260589625e+41,11.526
4.2139846707963625e+41,11.528
4.300917977069952e+41,11.53
4.388568453504136e+41,11.532
4.476940966851433e+41,11.534
4.566040415698834e+41,11.536
4.655871737895009e+41,11.538
4.751670504599005e+41,11.54
4.84933210551926e+41,11.542
4.9477990836102294e+41,11.544
5.047076905212057e+41,11.546
5.147171072463698e+41,11.548
5.250279124065192e+41,11.55
5.353527697046264e+41,11.552
5.460352702064313e+41,11.554
5.572323865343028e+41,11.556
5.68521900728562e+41,11.558
5.799044419884527e+41,11.56
5.921967892378329e+41,11.562
6.046014739354566e+41,11.564
6.169200593958439e+41,11.566
6.293401401764115e+41,11.568
6.4186240628745925e+41,11.57
6.549580456091133e+41,11.572
6.685588917537997e+41,11.574
6.82272058037802e+41,11.576
6.9609830752911255e+41,11.578
7.100384083017371e+41,11.58
7.242088153559225e+41,11.582
7.393964469875476e+41,11.584
7.547096562447891e+41,11.586
7.701492956287719e+41,11.588
7.856526322408896e+41,11.59
8.012428791611055e+41,11.592
8.17687872823427e+41,11.594
8.346054782153593e+41,11.596
8.51665768860021e+41,11.598
8.688697870373014e+41,11.6
8.862185860777498e+41,11.602
9.040117918133311e+41,11.604
9.228255494473725e+41,11.606
9.41798104192053e+41,11.608
9.60930616381924e+41,11.61
9.802242557516985e+41,11.612
9.996802015433715e+41,11.614
1.0203596729026398e+42,11.616
1.0414361885888438e+42,11.618
1.0626905146972056e+42,11.62
1.0841239520021213e+42,11.622
1.1057378118551142e+42,11.624
1.128118167717811e+42,11.626
1.1515752321648649e+42,11.628
1.1752303532485209e+42,11.63
1.1990849802393703e+42,11.632
1.2231405774461523e+42,11.634
1.2473986146197322e+42,11.636
1.2734201082536801e+42,11.638
1.2997114772427395e+42,11.64
1.3262247367416816e+42,11.642
1.3529615122916008e+42,11.644
1.3799234426993644e+42,11.646
1.4080422535547015e+42,11.648
1.4372126683851466e+42,11.65
1.4666294006621e+42,11.652
1.496294255685236e+42,11.654
1.5262090534984084e+42,11.656
1.5565392666282713e+42,11.658
1.588522751082405e+42,11.66
1.62077615670659e+42,11.662
1.6533014641375074e+42,11.664
1.686100674308277e+42,11.666
1.719175796498471e+42,11.668
1.7534722557482254e+42,11.67
1.788511322970164e+42,11.672
1.823845402237673e+42,11.674
1.8594766641851593e+42,11.676
1.8954072974149067e+42,11.678
1.9321092070670918e+42,11.68
1.9705568956995367e+42,11.682
2.0093282691258113e+42,11.684
2.048425712064221e+42,11.686
2.0878516290452788e+42,11.688
2.1276084446459306e+42,11.69
2.1696163049647213e+42,11.692
2.2124227560749515e+42,11.694
2.255589436980551e+42,11.696
2.2991190117043758e+42,11.698
2.3430141564031695e+42,11.7
2.3879127566860092e+42,11.702
2.4342402519594193e+42,11.704
2.4809571129121473e+42,11.706
2.5280662203484968e+42,11.708
2.5755704793191095e+42,11.71
